,Feature,Importance
89,ci_000,0.07658982115724502
91,ck_000,0.06130032042485555
75,bt_000,0.05702622621761999
62,bb_000,0.056307311108779
70,bj_000,0.05455466010555306
1,aa_000,0.05274064123254984
25,aq_000,0.050159947034763785
136,dn_000,0.04550336425096862
16,ah_000,0.043998655826180746
68,bh_000,0.033240499862265994
76,bu_000,0.02693100720243387
83,cc_000,0.02317750076164789
106,cq_000,0.02285291221326285
22,an_000,0.02204069003130954
67,bg_000,0.02119701548406486
111,cs_004,0.020583669091743292
23,ao_000,0.018322920154889923
24,ap_000,0.017076714035585853
78,bx_000,0.01578006261182845
55,ba_003,0.014704302731489588
77,bv_000,0.01239087869812552
42,az_000,0.012204779808499393
109,cs_002,0.011668775414353417
152,ee_000,0.01109854725141291
52,ba_000,0.01047557495909569
11,ag_005,0.009579146035004642
110,cs_003,0.009294313569014025
97,cn_003,0.00791577224918325
54,ba_002,0.007863271387357908
44,az_002,0.006754544600194846
69,bi_000,0.006455028838124524
96,cn_002,0.006374911872260669
8,ag_002,0.006288337873015236
9,ag_003,0.005495551077051703
21,am_0,0.005306252182521946
95,cn_001,0.004977774047801715
20,al_000,0.004874339479735396
40,ay_008,0.004610857457570475
112,cs_005,0.004546859933771344
10,ag_004,0.003919028916511962
38,ay_006,0.0031448734715377874
53,ba_001,0.003124154825596783
43,az_001,0.0029394054289152097
94,cn_000,0.002921857072913405
126,dd_000,0.002489220208817283
17,ai_000,0.0022888496571726704
12,ag_006,0.002035660509328598
71,bk_000,0.0020284675924050312
90,cj_000,0.002015288813580852
47,az_005,0.002006826767121102
158,ee_006,0.0019716420393376182
79,by_000,0.0019188735562205332
145,dx_000,0.0018150136740606774
159,ee_007,0.0017319896373665625
157,ee_005,0.0017187327290521207
72,bl_000,0.0016474384322722753
127,de_000,0.0016211636829968567
60,ba_008,0.0015086295202795814
61,ba_009,0.0014773486148365446
108,cs_001,0.0014455739912946444
13,ag_007,0.0013480550084232984
87,cg_000,0.0013466386113822582
30,av_000,0.0012991243080377783
45,az_003,0.0012819393859818304
149,eb_000,0.0012757468489632859
142,dt_000,0.0012440150429878537
46,az_004,0.0012423241812409525
153,ee_001,0.0012157283366670878
107,cs_000,0.001212955228095458
144,dv_000,0.001201059773862518
103,cn_009,0.0011853450232965194
98,cn_004,0.0011838498157616443
58,ba_006,0.00118045464337378
35,ay_003,0.001168680350231644
156,ee_004,0.0011663976981181367
100,cn_006,0.0011435452262451918
137,do_000,0.0011420690516158669
74,bs_000,0.0011348435138820478
154,ee_002,0.0011280528340040388
56,ba_004,0.0011279826980962373
99,cn_005,0.0011161130989211538
57,ba_005,0.0011056817211802746
105,cp_000,0.0010930551838203098
115,cs_008,0.001081931702253567
65,be_000,0.0010680066465611514
73,bm_000,0.0010375202518666622
64,bd_000,0.0010292466314127475
146,dy_000,0.0010274909493464296
39,ay_007,0.0010126320489190455
101,cn_007,0.0009945934029685999
129,dg_000,0.0009905147056317955
155,ee_003,0.0009466693877695734
113,cs_006,0.0009367906316530461
18,aj_000,0.000936576405249769
34,ay_002,0.0009350470157874768
92,cl_000,0.0009298310086556847
102,cn_008,0.0009245403428704405
14,ag_008,0.0009240493639676051
138,dp_000,0.0008926356285160349
143,du_000,0.0008731433364939446
63,bc_000,0.0008665819730488931
141,ds_000,0.0008592726070910866
160,ee_008,0.0008566432914411367
66,bf_000,0.0008555804232672812
82,cb_000,0.0008365660932394584
139,dq_000,0.0008238396807775912
2,ac_000,0.0008073111663127108
114,cs_007,0.0007765466029442747
81,ca_000,0.0007401084235375728
140,dr_000,0.0007384763289841818
31,ax_000,0.000728451247598603
150,ec_00,0.0007163569355545956
80,bz_000,0.0007122670280210374
85,ce_000,0.0007002535951592619
122,cz_000,0.0006843476022734422
7,ag_001,0.0006815384805534832
118,cu_000,0.0006697266945460303
161,ee_009,0.0006695491607507384
59,ba_007,0.0006663861716395169
37,ay_005,0.0006551420014152258
0,Unnamed: 0,0.0006241555055128486
131,di_000,0.0006150012613287009
48,az_006,0.0006093983101177338
32,ay_000,0.000556793031793488
128,df_000,0.0005470822952951381
151,ed_000,0.0005316530156578028
125,dc_000,0.0005287605155643802
120,cx_000,0.00047854555814138563
104,co_000,0.00047613603153591114
15,ag_009,0.00046589856876933964
3,ad_000,0.00046261860980759925
33,ay_001,0.0004528365845632079
29,au_000,0.0004389328230601063
119,cv_000,0.00043749009544756035
148,ea_000,0.00043385069202284235
117,ct_000,0.0004219086701212387
49,az_007,0.0004088916192261918
93,cm_000,0.00039054555122286256
26,ar_000,0.0003820711677357403
130,dh_000,0.0003360284001457842
36,ay_004,0.000302130574886646
19,ak_000,0.00025824423767475057
86,cf_000,0.00023394012522485788
124,db_000,0.00023364325680316287
4,ae_000,0.00023176709965588464
41,ay_009,0.0002313153214400047
28,at_000,0.00021274605973696807
121,cy_000,0.0001937706400602434
147,dz_000,0.00018671859575217722
5,af_000,0.0001813264781077244
27,as_000,0.00016786700900523952
163,eg_000,0.0001651385886505242
162,ef_000,0.00012636882431937453
123,da_000,0.00012273896546443963
50,az_008,0.00011559284562706239
133,dk_000,9.17914047844227e-05
134,dl_000,7.515009107761589e-05
132,dj_000,3.591668227622174e-05
116,cs_009,2.4961934212993372e-05
51,az_009,2.3164624536071998e-05
135,dm_000,1.7452960979645985e-05
88,ch_000,6.0354056349626374e-06
84,cd_000,0.0
6,ag_000,0.0
